
2012/06/12 14:52:30 [error] 5645#0: *1 open() "/home/nelson/workspace/oau/oau/media/default/img/open.png" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /media/default/img/open.png HTTP/1.1", host: "127.0.0.1"
2012/06/12 14:55:54 [error] 5645#0: *66 open() "/home/nelson/workspace/oau/oau/media/default/img/open.png" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /media/default/img/open.png HTTP/1.1", host: "127.0.0.1"
2012/06/12 14:55:57 [error] 5645#0: *66 open() "/home/nelson/workspace/oau/oau/media/default/img/open.png" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /media/default/img/open.png HTTP/1.1", host: "127.0.0.1"
2012/06/12 15:33:30 [error] 5814#0: *1 open() "/home/nelson/workspace/oau/oau/media/default/img/open.png" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /media/default/img/open.png HTTP/1.1", host: "127.0.0.1"
2012/06/12 15:37:29 [error] 5814#0: *3 open() "/home/nelson/workspace/oau/oau/media/default/img/open.png" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /media/default/img/open.png HTTP/1.1", host: "127.0.0.1"
2012/06/12 21:19:43 [error] 1229#0: *1 open() "/home/nelson/workspace/oau/oau/media/default/img/open.png" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /media/default/img/open.png HTTP/1.1", host: "127.0.0.1"
2012/06/25 21:44:05 [error] 1212#0: *10 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-transition.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-transition.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:05 [error] 1212#0: *11 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-alert.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-alert.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:05 [error] 1212#0: *12 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-modal.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-modal.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:05 [error] 1212#0: *13 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-dropdown.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-dropdown.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:05 [error] 1212#0: *14 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-scrollspy.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-scrollspy.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:05 [error] 1212#0: *8 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-tab.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-tab.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:05 [error] 1212#0: *10 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-tooltip.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-tooltip.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:05 [error] 1212#0: *11 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-popover.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-popover.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:05 [error] 1212#0: *12 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-button.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-button.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:05 [error] 1212#0: *13 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-collapse.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-collapse.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:05 [error] 1212#0: *14 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-carousel.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-carousel.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:05 [error] 1212#0: *8 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-typeahead.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-typeahead.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:06 [error] 1212#0: *8 open() "/home/nelson/workspace/oau/oau/static/bootstrap/css/bootstrap.css" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/css/bootstrap.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:06 [error] 1212#0: *10 open() "/home/nelson/workspace/oau/oau/static/bootstrap/css/bootstrap-responsive.css" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/css/bootstrap-responsive.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/company/"
2012/06/25 21:44:21 [error] 1212#0: *8 open() "/home/nelson/workspace/oau/oau/static/bootstrap/css/bootstrap.css" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/css/bootstrap.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *8 open() "/home/nelson/workspace/oau/oau/static/bootstrap/css/bootstrap-responsive.css" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/css/bootstrap-responsive.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *8 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/jquery.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/jquery.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *10 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-transition.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-transition.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *11 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-alert.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-alert.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *14 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-modal.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-modal.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *13 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-dropdown.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-dropdown.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *12 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-scrollspy.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-scrollspy.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *8 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-tab.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-tab.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *10 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-tooltip.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-tooltip.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *11 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-popover.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-popover.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *14 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-button.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-button.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *13 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-collapse.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-collapse.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *12 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-carousel.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-carousel.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/25 21:44:21 [error] 1212#0: *8 open() "/home/nelson/workspace/oau/oau/static/bootstrap/js/bootstrap-typeahead.js" failed (13: Permission denied), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/js/bootstrap-typeahead.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 20:59:16 [error] 1237#0: *10 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:00:42 [error] 1237#0: *23 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:03:21 [error] 1237#0: *28 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:07:21 [error] 1237#0: *35 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:07:58 [error] 1237#0: *34 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:08:20 [error] 1237#0: *37 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:10 [error] 1237#0: *44 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:19 [error] 1237#0: *42 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:20 [error] 1237#0: *40 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:21 [error] 1237#0: *44 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:21 [error] 1237#0: *45 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:22 [error] 1237#0: *40 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:22 [error] 1237#0: *45 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:22 [error] 1237#0: *40 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:23 [error] 1237#0: *45 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:23 [error] 1237#0: *46 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:23 [error] 1237#0: *46 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:23 [error] 1237#0: *44 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:24 [error] 1237#0: *43 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:24 [error] 1237#0: *42 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2012/06/26 21:11:24 [error] 1237#0: *42 open() "/home/nelson/workspace/oau/oau/static/bootstrap/img/glyphicons/glyphicons_042_group.png" failed (2: No such file or directory), client: 127.0.0.1, server: oau.cl, request: "GET /static/bootstrap/img/glyphicons/glyphicons_042_group.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
